"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17042","D_41: Kiểm tra logo hiển thị tại màn hình chi tiết phim John Cena WWE","chromium","2026-09-20","failed","2026-09-20","Movie Search & Listing Feature","ui\dashboard\moviesearch.spec.ts","",""
"","1","D_08: Kiểm tra hiển thị và điều hướng chức năng Đăng Ký","webkit","2026-09-20","skipped","2026-09-20","","ui\register.spec.ts","",""
"","0","D_04: Kiểm tra điều hướng đến trang Cụm Rạp","webkit","2026-09-20","skipped","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","6421","D_19: Click nút 'Mua vé ngay' khi chỉ chọn Phim + Rạp","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","12101","D_15: Kiểm tra dropdown Ngày giờ chiếu hiển thị các suất chiếu đã chọn Phim và Rạp","firefox","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","40069","D_18: Click nút 'Mua vé ngay' khi chỉ chọn Phim","webkit","2026-09-20","broken","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","0","D_38: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Khuyến Mãi","webkit","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","0","D_36: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Điện ảnh 24h","webkit","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","2","D_34: Kiểm tra đăng nhập thành công với tài khoản hợp lệ","webkit","2026-09-20","failed","2026-09-20","Login Feature","ui\login.spec.ts","",""
"","18458","D_17: Click nút 'Mua vé ngay' khi chưa chọn Phim + Rạp + Ngày giờ chiếu","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","6833","D_06: Kiểm tra điều hướng đến trang Ứng Dụng","chromium","2026-09-20","passed","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","2","D_07: Kiểm tra hiển thị và điều hướng chức năng Đăng Nhập","webkit","2026-09-20","failed","2026-09-20","Login Feature","ui\login.spec.ts","",""
"","0","D_07: Kiểm tra hiển thị và điều hướng chức năng Đăng Nhập","firefox","2026-09-20","skipped","2026-09-20","TopBar / Header Feature - Test Cases (D_01 to D_08 & D_35)","ui\dashboard\header.spec.ts","",""
"","0","D_34: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Điện ảnh 24h","firefox","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","1","D_08: Kiểm tra hiển thị và điều hướng chức năng Đăng Ký","firefox","2026-09-20","skipped","2026-09-20","","ui\register.spec.ts","",""
"","19716","D_25: Hiển thị nút 'Play' và 'Mua vé' khi rê chuột","firefox","2026-09-20","failed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","1","D_35: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Review","firefox","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
